API_Num,UTM_X,UTM_Y,  Long_X,  Lat_Y,SP_Top_ft
1.21412E+11,311453.5683,4668761.013,-89.281891,42.148289,641.2705052
1.21412E+11,310255.2864,4668585.805,-89.296325,42.146423,663.9721785
1.21412E+11,311452.0423,4668558.593,-89.281844,42.146467,642.4253937
1.21412E+11,316979.4324,4673829.289,-89.216656,42.195212,544.3257218
1.21412E+11,318383.3205,4672948.46,-89.19939,42.187612,493.1636811
1.21412E+11,318311.6057,4669939.557,-89.199319,42.160516,661.2240486
1.21412E+11,311854.3911,4668752.529,-89.277041,42.148309,704.0112861
1.21412E+11,312455.4792,4668544.724,-89.269705,42.146583,693.4196194
1.21412E+11,314169.1462,4669186.729,-89.249186,42.152769,607.7002953
1.21412E+11,317746.422,4667842.533,-89.2055,42.141512,720.39229
1.21412E+11,317627.734,4666939.688,-89.206653,42.133359,627.3300525
1.21412E+11,315011.2963,4668027.857,-89.238633,42.142539,532.603773
1.21412E+11,315208,4667821.58,-89.236189,42.140729,587.9147966
1.21412E+11,311944.0034,4667855.404,-89.275668,42.140257,658.7858268
1.21412E+11,312448.255,4667750.638,-89.269537,42.139435,614.9314304
1.21412E+11,311835.9645,4667559.708,-89.276879,42.13757,619.2941601
1.21412E+11,312351.9064,4668048.999,-89.270798,42.142097,647.0705709
1.21412E+11,312615.2236,4666140.425,-89.267001,42.124984,528.6187008
1.21412E+11,312999.897,4665516.961,-89.262151,42.119465,630.8413386
1.21412E+11,313395.2496,4665297.93,-89.257302,42.117588,583.278773
1.21412E+11,314491.5871,4666355.976,-89.244386,42.12737,534.8003281
1.21412E+11,314780.3315,4665419.236,-89.240598,42.119008,593.2971457
1.21412E+11,308656.0984,4670022.497,-89.316135,42.158963,640.3266732
1.21412E+11,320747.6855,4667428.284,-89.169079,42.138476,632.5687992
1.21412E+11,314286.794,4665347.311,-89.246541,42.118244,637.9200459
1.21412E+11,320011.7109,4664501.01,-89.177076,42.111962,510.0645669
1.21412E+11,306585.3354,4665421.126,-89.339655,42.117047,752.5404199
1.21412E+11,317928.522,4670954.251,-89.20427,42.169559,511.2358924
1.21412E+11,313849.1344,4668502.907,-89.252838,42.146539,640.0435039
1.21412E+11,320539.5768,4667030.019,-89.171473,42.134844,585.339895
1.21412E+11,314175.3256,4664094.959,-89.24749,42.106947,680.5354003
1.21412E+11,314769.3894,4664888.721,-89.240562,42.114231,641.3769357
